
Code;Text
MA06AX09;elobixibat
MA07;drugs for diarrhea and intestinal inflammation/infection
MA07A;intestinal anti-infectives
MA07AA;antibiotics
MA07AA01;neomycin
MA07AA02;nystatin
MA07AA03;natamycin
MA07AA04;streptomycin
MA07AA05;polymyxin B
MA07AA06;paromomycin
MA07AA07;amphotericin
MA07AA08;kanamycin
MA07AA09;vancomycin
MA07AA10;colistin
MA07AA11;rifaximin
MA07AA12;fidaxomicin
MA07AA13;rifamycin
MA07AA51;neomycin, combinations
MA07AA54;streptomycin, combinations
MA07AB;sulfonamides
MA07AB02;phthalylsulfathiazole
MA07AB03;sulfaguanidine
MA07AB04;succinylsulfathiazole
MA07AC;imidazole derivatives
MA07AC01;miconazole
MA07AX;other intestinal anti-infectives
MA07AX01;broxyquinoline
MA07AX02;acetarsol
MA07AX03;nifuroxazide
MA07AX04;nifurzide
MA07B;intestinal adsorbents
MA07BA;coal preparations
MA07BA01;activated carbon
MA07BA51;activated carbon, comb.
MA07BB;bismuth preparations
MA07BC;other intestinal adsorbents
MA07BC01;pectin
MA07BC02;kaolin
MA07BC03;crospovidone
MA07BC04;attapulgite
MA07BC05;diosmectite
MA07BC30;other intestinal adsorbents, combination preparations
MA07BC54;attapulgite, combinations
MA07C;electrolytes with carbohydrates
MA07CA;oral rehydration salt formulations
MA07D;antipropulsive
MA07DA;antipropulsive
MA07DA01;diphenoxylate
MA07DA02;opium
MA07DA03;loperamide
MA07DA04;difenoxin
MA07DA05;loperamide oxide
MA07DA06;eluxadoline
MA07DA52;morphine, combinations
MA07DA53;loperamide, combinations
MA07E;intestinal anti-inflammatories
MA07EA;locally acting corticosteroids
MA07EA01;prednisolone
MA07EA02;hydrocortisone
MA07EA03;prednisone
MA07EA04;betamethasone
MA07EA05;tixocortol
MA07EA06;budesonide
MA07EA07;beclometasone
MA07EB;antiallergic drugs, excl. corticosteroids
MA07EB01;cromoglycic acid
MA07EC;aminosalicylic acid and analogues
MA07EC01;sulfasalazine
MA07EC02;mesalazine
MA07EC03;olsalazine
MA07EC04;balsalazide
MA07F;microorganisms with antidiarrheal effect
MA07FA;microorganisms with antidiarrheal effect
MA07FA01;lactic acid producing organisms
MA07FA02;saccharomyces boulardii
MA07FA03;Escherichia coli
MA07FA51;lactic acid producing organisms, combinations
MA07X;other antidiarrheals
MA07XA;other antidiarrheals
MA07XA01;albumin tannate
MA07XA02;ceratonia
MA07XA03;calcium compounds
MA07XA04;racecadotril
MA07XA06;crofelemer
MA07XA51;albumin tannate, comp.
MA08;anti-obesity drugs, excl. dietetic drugs
MA08A;anti-obesity products, excl. dietetic products
MA08AA;centrally acting anorectics
MA08AA01;phentermine
MA08AA02;fenfluramine
MA08AA03;amfepramone
MA08AA04;dexfenfluramine
MA08AA05;mazindol
MA08AA06;ethylamphetamine
MA08AA07;cathin
MA08AA08;clobenzorex
MA08AA09;mefenorex
MA08AA10;sibutramine
MA08AA11;lorcaserin
MA08AA12;setmelanotide
MA08AA51;phentermine and topiramate
MA08AA56;ephedrine, combinations
MA08AA62;bupropion and naltrexone
MA08AB;antiobesity agents with peripheral action
MA08AB01;orlistat
MA08AX;other anti-obesity agents
MA08AX01;rimonabant
MA09;digestives, incl. enzymes
MA09A;digestives, incl. enzymes
MA09AA;enzyme preparations
MA09AA01;diastasis
MA09AA02;multienzymes (lipase, protease etc.)
MA09AA03;pepsin
MA09AA04;tilactase
MA09AB;acid preparations
MA09AB01;glutamic acid
MA09AB02;betaine hydrochloride
MA09AB03;hydrochloric acid
MA09AB04;citric acid
MA09AC;enzyme and acid preparations, combinations
MA09AC01;pepsin and acid preparations
MA09AC02;multienzymes and acid preparations
MA10;antidiabetic
MA10A;insulins and analogues
MA10AB;insulins and analogues for injection, fast-acting
MA10AB01;insulin (human)
MA10AB02;insulin (ox)
MA10AB03;insulin (porcine)
MA10AB04;insulin lispro
MA10AB05;insulin aspart
MA10AB06;insulin glulisine
MA10AB30;combinations of insulins and analogues for injection, fast-acting
MA10AC;insulins and analogues for injection, intermediate-acting
MA10AC01;insulin (human)
MA10AC02;insulin (ox)
MA10AC03;insulin (porcine)
MA10AC04;insulin lispro
MA10AC30;combinations of insulins and analogues for injection, intermediate-acting
MA10AD;insulins and analogues for injection, intermediate and long-acting in combinations with fast-acting
MA10AD01;insulin (human)
MA10AD02;insulin (ox)
MA10AD03;insulin (porcine)
MA10AD04;insulin lispro
MA10AD05;insulin aspart
MA10AD06;insulin degludec and insulin aspart
MA10AD30;combinations of insulins and analogues for injection, intermediate and long-acting in combinations with rapid-acting
MA10AE;insulins and analogues for injection, long-acting
MA10AE01;insulin (human)
MA10AE02;insulin (ox)
MA10AE03;insulin (porcine)
MA10AE04;insulin glargine
MA10AE05;insulin detemir
MA10AE06;insulin degludec
MA10AE07;insulin icodec
MA10AE30;combinations of insulins and analogues for injection, long-acting
MA10AE54;insulin glargine and lixisenatide
MA10AE56;insulin degludec and liraglutide
MA10AE57;insulin icodec and semaglutide
MA10AF;insulins and analogues, for inhalation
MA10AF01;insulin (human)
MA10B;blood-glucose-lowering agents, excl. insulins
MA10BA;biguanides
MA10BA01;phenformin
MA10BA02;metformin
MA10BA03;buformin
MA10BB;sulfonyl urea
MA10BB01;glibenclamide
MA10BB02;chlorpropamide
MA10BB03;tolbutamide
MA10BB04;glibornuride
MA10BB05;tolazamide
MA10BB06;carbutamide
MA10BB07;glipizide
MA10BB08;gliquidone
MA10BB09;gliclazide
MA10BB10;metahexamide
MA10BB11;glisoxepid
MA10BB12;glimepiride
MA10BB31;acetohexamide
MA10BC;sulfonamides (heterocyclic)
MA10BC01;glymidine
MA10BD;comb. of oral blood-glucose-lowering agents
MA10BD01;phenformin and sulfonylureas
MA10BD02;metformin and sulfonylureas
MA10BD03;metformin and rosiglitazone
MA10BD04;glimepiride and rosiglitazone
MA10BD05;metformin and pioglitazone
MA10BD06;glimepiride and pioglitazone
MA10BD07;metformin and sitagliptin
MA10BD08;metformin and vildagliptin
MA10BD09;pioglitazone and alogliptin
MA10BD10;metformin and saxagliptin
MA10BD11;metformin and linagliptin
MA10BD12;pioglitazone and sitagliptin
MA10BD13;metformin and alogliptin
MA10BD14;metformin and repaglinide
MA10BD15;metformin and dapagliflozin
MA10BD16;metformin and canagliflozin
MA10BD17;metformin and acarbose
MA10BD18;metformin and gemigliptin
MA10BD19;linagliptin and empagliflozin
MA10BD20;metformin and empagliflozin
MA10BD21;saxagliptin and dapagliflozin
MA10BD22;metformin and evogliptin
MA10BD23;metformin and ertugliflozin
MA10BD24;sitagliptin and ertugliflozin
MA10BD25;metformin, saxagliptin and dapagliflozin
MA10BD26;metformin and lobeglitazone
MA10BD27;metformin, linagliptin and empagliflozin
MA10BD28;metformin and teneligliptin
MA10BD29;sitagliptin and dapagliflozin
MA10BD30;gemigliptin and dapagliflozin
MA10BD31;metformin, sitagliptin and dapagliflozin
MA10BD32;glimepiride and dapagliflozin
MA10BD33;pioglitazone and dapagliflozin
MA10BF;alpha-glucosidase inhibitors
MA10BF01;acarbose
MA10BF02;miglitol
MA10BF03;voglibose
MA10BG;thiazolindiones
MA10BG01;troglitazone
MA10BG02;rosiglitazone
MA10BG03;pioglitazone
MA10BG04;lobeglitazone
MA10BH;dipeptidyl peptidase 4 (DPP-4) inhibitors
MA10BH01;sitagliptin
MA10BH02;vildagliptin
MA10BH03;saxagliptin
MA10BH04;alogliptin
MA10BH05;linagliptin
MA10BH06;gemigliptin
MA10BH07;evogliptin
MA10BH08;teneligliptin
MA10BH51;sitagliptin and simvastatin
MA10BH52;gemigliptin and rosuvastatin
MA10BJ;glucagon-like peptide-1 receptor (GLP-1) analog
MA10BJ01;exenatide
MA10BJ02;liraglutide
MA10BJ03;lixisenatide
MA10BJ04;albiglutide
MA10BJ05;dulaglutide
MA10BJ06;semaglutide
MA10BJ07;beinaglutide
MA10BK;sodium-glucose co-transporter 2 (SGLT2) inhibitors
MA10BK01;dapagliflozin
MA10BK02;canagliflozin
MA10BK03;empagliflozin
MA10BK04;ertugliflozin
MA10BK05;ipragliflozin
MA10BK06;sotagliflozin
MA10BK07;luseogliflozin
MA10BK08;bexagliflozin
MA10BK09;enavogliflozin
MA10BX;other blood glucose lowering agents, excl. insulins
MA10BX01;guar gum
MA10BX02;repaglinide
MA10BX03;nateglinide
MA10BX05;pramlintid
MA10BX06;benfluorex
MA10BX08;mitiglinide
MA10BX15;imeglimin
MA10BX16;tirzepatid
MA10BX17;carfloglitazar
MA10BX18;dorzagliatin
MA10X;other agents for the treatment of diabetes
MA10XA;aldose reductase inhibitors
MA10XA01;customs tax
MA10XX;other antidiabetic agents
MA10XX01;teplizumab
MA10XX02;donislecel
MA11;vitamins
MA11A;multivitamins, combinations
MA11AA;multivitamins with minerals
MA11AA01;multivitamins and iron
MA11AA02;multivitamins and calcium
MA11AA03;multivitamins and other minerals, incl. comb.
MA11AA04;multivitamins and trace minerals
MA11AB;multivitamins, other combinations
MA11B;multivitamins, uncompounded
MA11BA;multivitamins, uncompounded
MA11C;vitamin A and D, incl. combinations thereof
MA11CA;vitamin A, uncompounded preparations
MA11CA01;retinol (vitamin A)
MA11CA02;betacarotene
MA11CB;vitamin A and D in combination
MA11CC;vitamin D and analogues
MA11CC01;ergocalciferol
MA11CC02;dihydrotachysterol
MA11CC03;alfacalcidol
MA11CC04;calcitriol
MA11CC05;colecalciferol
MA11CC06;calcifediol
MA11CC20;combinations of vitamin D and analogues
MA11CC55;cholecalciferol, combinations
MA11D;vitamin B1, also in comb. with vitamin B6 and B12
MA11DA;thiamine (vitamin B1), uncompounded preparations
MA11DA01;thiamine (vitamin B1)
MA11DA02;sulbutiamine
MA11DA03;benfotiamine
MA11DB;vitamin B1 in combination with vitamin B6 and/or vitamin B12
MA11E;vitamin B-complex, incl. combinations
MA11EA;vitamin B complex, without other substances
MA11EB;vitamin B complex with vitamin C
MA11EC;vitamin B complex with minerals
MA11ED;vitamin B complex with anabolic steroids
MA11EX;vitamin B complex, other combinations
MA11G;ascorbic acid (vitamin C), incl. combinations
MA11GA;ascorbic acid (vitamin C), uncompounded prep.
MA11GA01;ascorbic acid (vitamin C)
MA11GB;ascorbic acid (vitamin C), combinations
MA11GB01;ascorbic acid (vitamin C) and calcium
MA11H;other uncompounded vitamin preparations
MA11HA;other uncompounded vitamin preparations
MA11HA01;nicotinamide
MA11HA02;pyridoxine (vitamin B6)
MA11HA03;tocopherol (vitamin E)
MA11HA04;riboflavin (vitamin B2)
MA11HA05;biotin
MA11HA06;pyridoxal phosphate
MA11HA07;inositol
MA11HA08;tocofersolan
MA11HA30;dexpanthenol
MA11HA31;calcium pantothenate
MA11HA32;pantethine
MA11J;other compound vitamin preparations
MA11JA;combinations of vitamins
MA11JB;vitamins with minerals
MA11JC;vitamins, other combinations
MA12;mineral preparations
MA12A;calcium
MA12AA;calcium
MA12AA01;calcium phosphate
MA12AA02;calcium glubionate
MA12AA03;calcium gluconate
MA12AA04;calcium carbonate
MA12AA05;calcium lactate
MA12AA06;calcium lactogluconate
MA12AA07;calcium chloride
MA12AA08;calcium glyceryl phosphate
MA12AA09;calcium citrate-lysine complex
MA12AA10;calcium glucoheptonate
MA12AA11;calcium pangamate
MA12AA13;calcium citrate
MA12AA20;calcium (various salts in combination)
MA12AA30;calcium laevulate
MA12AX;calcium, combinations with vitamin D and/or other substances
MA12B;potassium
MA12BA;potassium
MA12BA01;potassium chloride
MA12BA02;potassium citrate
MA12BA03;potassium hydrogen tartrate
MA12BA04;potassium bicarbonate
MA12BA05;potassium gluconate
MA12BA30;potassium (various salts in combination)
MA12BA51;potassium, combinations
MA12C;other mineral preparations
MA12CA;sodium
MA12CA01;sodium chloride
MA12CA02;sodium sulfate
MA12CB;zinc
MA12CB01;zinc sulfate
MA12CB02;zinc gluconate
MA12CB03;zinc protein complex
MA12CB04;zincorotate
MA12CC;magnesium
MA12CC01;magnesium chloride
MA12CC02;magnesium sulfate
MA12CC03;magnesium gluconate
MA12CC04;magnesium citrate
MA12CC05;magnesium aspartate
MA12CC06;magnesium lactate
MA12CC07;magnesium levulinate
MA12CC08;magnesium pidolate
MA12CC09;magnesium orotate
MA12CC10;magnesium oxide
MA12CC30;magnesium (various salts in combination)
MA12CD;fluoride
MA12CD01;sodium fluoride
MA12CD02;sodium monofluorophosphate
MA12CD51;fluoride, combinations
MA12CE;selenium
MA12CE01;sodium selenate
MA12CE02;sodium selenite
MA12CX;various mineral preparations
MA13;tonic
MA13A;tonic
MA14;anabolic agents for systemic use
MA14A;anabolic steroids
MA14AA;androstane derivatives
MA14AA01;androstanolone
MA14AA02;stanozolol
MA14AA03;methandienone
MA14AA04;methenolone
MA14AA05;oxymetholone
MA14AA06;quinbolone
MA14AA07;prasterone
MA14AA08;oxandrolone
MA14AA09;norethandrolone
MA14AB;estrene derivatives
MA14AB01;nandrolone
MA14AB02;ethylestrenol
MA14AB03;oxabolone cipionate
MA14B;other anabolic agents
MA15;appetite stimulants
MA16;other digestive and metabolic agents
MA16A;other digestive and metabolic agents
MA16AA;amino acids and derivatives
MA16AA01;levocarnitine
MA16AA02;ademetionine
MA16AA03;levoglutamide
MA16AA04;mercaptamine
MA16AA05;carglumic acid
MA16AA06;betaine
MA16AA07;metreleptin
MA16AB;enzymes
MA16AB01;alglucerase
MA16AB02;imiglucerase
MA16AB03;agalsidase alfa
MA16AB04;agalsidase beta
MA16AB05;laronidase
MA16AB06;sacrosidase
MA16AB07;alglucosidase alfa
MA16AB08;galsulfase
MA16AB09;idursulfase
MA16AB10;velaglucerase alfa
MA16AB11;taliglucerase alfa
MA16AB12;elosulfase alfa
MA16AB13;asfotase alfa
MA16AB14;sebelipase alfa
MA16AB15;velmanase alfa
MA16AB16;idursulfase beta
MA16AB17;cerliponase alfa
MA16AB18;vestronidase alfa
MA16AB19;pegvaliase
MA16AB20;pegunigalsidase Alfa
MA16AB21;atidarsagene autotemcel
MA16AB22;avalglucosidase alfa
MA16AB23;cipaglucosidase alfa
MA16AB24;pegzilarginase
MA16AB25;olipudase alpha
MA16AB26;eladocagene exuparvovec
MA16AB27;pabinafusp alfa
MA16AB28;verenafusp alpha
MA16AX;miscellaneous agents for digestive organs and metabolism
MA16AX01;thiotic acid
MA16AX02;anethole trithion
MA16AX03;sodium phenylbutyrate
MA16AX04;nitisinone
MA16AX05;zinc acetate
MA16AX06;miglustat
MA16AX07;sapropterin
MA16AX08;teduglutide
MA16AX09;glycerol phenylbutyrate
MA16AX10;eliglustat
